StrategyID,IndexName,EntryDate,ExitDate,Expiry,EntryDay,ExitDay,EntryTime,ExitTime,ATR,EntrySpot,ExitSpot,CEStrike,EntCEPr,ExitCEPr,PEStrike,EntPEPr,ExitPEPr,SLStrike,ExitType,ExitOptionType,ExitOn,TradeStatus,PNLCE,PNLPE,PNL,TotalPNL
SSBT039,Nifty,06/04/2023,06/04/2023,06/04/2023,Thursday,Thursday,10:03:59,10:34:59,26,17563,17583.0,17550,23.15,51.9,0,0.0,0.0,,TimeExit,,Close,Completed,28.75,0.0,29.0,2156.25
SSBT039,Nifty,12/04/2023,12/04/2023,13/04/2023,Wednesday,Wednesday,12:08:59,12:22:59,10,17754,17769.0,0,0.0,0.0,17750,43.0,38.55,17769.0,StopLossHit,PE,Open,Completed,0.0,-4.45,-4.0,-333.75
SSBT039,Nifty,17/04/2023,17/04/2023,20/04/2023,Monday,Monday,13:01:59,13:32:59,15,17697,17685.0,0,0.0,0.0,17700,70.65,82.85,,TimeExit,,Close,Completed,0.0,12.2,12.0,915.0
SSBT039,Nifty,19/04/2023,19/04/2023,20/04/2023,Wednesday,Wednesday,13:42:59,14:13:59,25,17604,17603.0,0,0.0,0.0,17600,38.15,45.45,,TimeExit,,Close,Completed,0.0,7.3,7.0,547.5
SSBT039,Nifty,20/04/2023,20/04/2023,20/04/2023,Thursday,Thursday,10:26:59,10:57:59,20,17616,17611.0,0,0.0,0.0,17600,18.35,25.6,,TimeExit,,Close,Completed,0.0,7.25,7.0,543.75
SSBT039,Nifty,21/04/2023,21/04/2023,27/04/2023,Friday,Friday,14:22:59,14:53:59,13,17649,17650.0,17650,71.5,78.45,0,0.0,0.0,,TimeExit,,Close,Completed,6.95,0.0,7.0,521.25
SSBT039,Nifty,25/04/2023,25/04/2023,27/04/2023,Tuesday,Tuesday,13:51:59,14:11:59,17,17770,17796.0,0,0.0,0.0,17750,36.6,32.15,17795.0,StopLossHit,PE,Open,Completed,0.0,-4.45,-4.0,-333.75
SSBT039,Nifty,03/05/2023,03/05/2023,04/05/2023,Wednesday,Wednesday,13:54:59,14:05:59,19,18050,18079.0,0,0.0,0.0,18050,45.4,37.4,18078.0,StopLossHit,PE,Open,Completed,0.0,-8.0,-8.0,-600.0
SSBT039,Nifty,04/05/2023,04/05/2023,04/05/2023,Thursday,Thursday,13:04:59,13:35:59,9,18184,18183.0,18200,8.75,12.35,0,0.0,0.0,,TimeExit,,Close,Completed,3.6,0.0,4.0,270.0
SSBT039,Nifty,05/05/2023,05/05/2023,11/05/2023,Friday,Friday,11:01:59,11:07:59,10,18220,18187.0,0,0.0,0.0,18200,67.9,80.2,,TargetHit,PE,Low,Completed,0.0,12.3,12.0,922.5
